OID,State,Area_m,Area_km,Area_Proportion,Pixel_count,Pixel_area,Minimum,Maximum,Mean,St_dev
0,A,58204.61705,0.058204617,2.155117539,146,58400,-199.4573669,582.914856,97.6340453,127.4724626
1,E,1621.609904,0.00162161,0.060042662,4,1600,568.3399658,693.4899292,639.5102081,50.28146128
2,B,15048.82906,0.015048829,0.557206576,36,14400,-183.4985352,423.4111938,69.19671909,124.1566076
3,E,671.1475989,0.000671148,0.024850311,1,400,423.8380127,423.8380127,423.8380127,0
4,D,77616.63164,0.077616632,2.873877943,193,77200,-32.50253677,842.163208,150.3253559,148.3346804
5,E,777.7027914,0.000777703,0.028795677,2,800,667.5309448,717.645813,692.5883789,25.05743408
6,E,1082.759858,0.00108276,0.040090893,2,800,789.2012329,825.7095337,807.4553833,18.25415039
7,E,1180.50888,0.001180509,0.043710203,3,1200,559.2037964,794.0304565,668.6106364,96.53393783
8,E,3736.050427,0.00373605,0.138333131,8,3200,525.3556519,789.0574951,679.6816864,86.95041277
9,E,394.2528681,0.000394253,0.014597838,2,800,799.0444336,823.3375854,811.1910095,12.14657593
10,E,5641.001453,0.005641001,0.208866939,14,5600,-5.324086189,423.3644104,236.94154,131.0034758
11,E,4808.067895,0.004808068,0.178026284,12,4800,207.3354645,626.5214233,365.8305664,138.9858082
12,E,897.4048118,0.000897405,0.033227832,2,800,493.244812,534.961792,514.103302,20.85848999
13,E,395.8260155,0.000395826,0.014656081,1,400,542.4172363,542.4172363,542.4172363,0
14,E,2031.656026,0.002031656,0.075225261,5,2000,408.3604431,607.4603882,513.9115967,70.06451274
15,E,13690.32858,0.013690329,0.506905975,38,15200,-2.842418671,836.194519,356.5675094,263.7357595
16,E,1024.387634,0.001024388,0.037929578,3,1200,347.7169495,717.8577881,561.581248,156.4998883
17,E,523.4629899,0.000523463,0.019382041,2,800,277.528595,365.2391663,321.3838806,43.85528564
18,E,756.2941699,0.000756294,0.028002976,1,400,476.7340393,476.7340393,476.7340393,0
19,E,1639.291655,0.001639292,0.060697366,4,1600,259.6446228,578.9555664,437.3189545,131.337986
20,E,5168.699422,0.005168699,0.191379214,10,4000,216.6161957,632.6398926,453.2091812,140.8561689
21,E,2318.61089,0.002318611,0.085850221,7,2800,491.1966858,839.6773682,628.6135995,99.68468195
22,E,4053.469388,0.004053469,0.150086069,11,4400,117.9964142,644.5189819,412.4409013,150.400954
23,E,757.8775336,0.000757878,0.028061626,1,400,529.4376831,529.4376831,529.4376831,0
24,C,90257.19445,0.090257194,3.341914643,200,80000,-243.5914917,879.0234375,230.7068909,202.6587892
25,E,35742.77201,0.035742772,1.323432381,88,35200,-48.61666107,1023.210327,408.947389,307.881747
26,E,26947.49888,0.026947499,0.997773557,69,27600,-29.92267227,1241.509155,437.9109022,352.2484461
27,E,2300.473396,0.002300473,0.085178633,6,2400,668.8806152,940.567749,812.7533468,94.41454023
28,D,3202.380085,0.00320238,0.118573159,6,2400,281.6835327,627.8225708,450.2781626,137.1207884
29,B,35804.9883,0.035804988,1.325736026,86,34400,9.005810738,734.8145752,222.5036519,158.4157088
30,E,2770.306889,0.002770307,0.102574976,5,2000,261.0813904,743.8104858,547.7091614,161.608383
31,E,2801.401355,0.002801401,0.103726281,6,2400,196.0186615,793.1405029,461.1186879,244.111403
32,E,180830.8935,0.180830894,6.695548419,396,158400,-179.1726074,1173.286377,217.7978806,254.1184352
33,E,3209.644094,0.003209644,0.11884212,8,3200,183.7385864,515.425354,379.0951004,99.03911101
34,E,2920.169655,0.00292017,0.10812389,6,2400,450.7649841,611.7901611,515.9446818,52.00906751
35,E,798.0219751,0.000798022,0.02954802,2,800,680.8453369,742.5715332,711.7084351,30.86309814
36,E,546.23941,0.000546239,0.020225359,1,400,691.9366455,691.9366455,691.9366455,0
38,E,957.6542058,0.000957654,0.035458646,3,1200,699.8389282,758.1538086,724.74941,24.55288558
39,D,99550.478,0.099550478,3.686013108,248,99200,-132.6385651,911.2131958,432.8421029,199.4044673
40,E,1599.661487,0.001599661,0.059229966,4,1600,91.14525604,395.2852478,239.8081112,126.6408267
41,C,46484.14249,0.046484142,1.721148508,113,45200,-93.96651459,958.2279663,252.5035407,214.2205434
42,C,84541.92146,0.084541921,3.130297666,208,83200,-149.2218475,778.2248535,102.5498463,111.9048384
43,A,853.2814855,0.000853281,0.031594072,2,800,324.2242126,338.8183594,331.521286,7.297073364
44,C,43033.94719,0.043033947,1.593399609,85,34000,-319.3275757,851.9293823,479.5194815,200.9759934
45,C,20905.64039,0.02090564,0.77406422,52,20800,156.0320892,942.0346069,537.3592341,207.9296456
46,E,92102.783,0.092102783,3.41025048,233,93200,-94.18088531,1239.813354,457.6067811,402.377473
47,D,40228.99317,0.040228993,1.489541773,101,40400,-263.4824219,1050.56604,283.0650249,342.4287815
48,D,23371.8463,0.023371846,0.865379378,60,24000,179.1026611,1141.319702,587.2459834,273.6868616
49,E,38606.1838,0.038606184,1.429454716,92,36800,117.4574432,762.4622192,397.1152095,121.1529753
50,E,1083.140752,0.001083141,0.040105,4,1600,558.4276733,637.2966919,597.7669067,30.14982416
51,E,347.6599615,0.00034766,0.012872659,1,400,617.2763062,617.2763062,617.2763062,0
52,E,12448.71188,0.012448712,0.460933152,29,11600,118.3326111,1251.547119,696.9290508,418.4280423
53,D,50583.23807,0.050583238,1.872923988,122,48800,174.5609436,1082.347412,604.5872265,211.6982652
54,D,3609.230709,0.003609231,0.133637458,10,4000,227.547699,855.3610229,526.9100876,214.7260513
55,D,2395.234093,0.002395234,0.088687308,7,2800,250.1053619,738.8779907,547.1483002,160.5416054
56,E,1700.24579,0.001700246,0.062954284,6,2400,390.058197,915.0346069,676.3118439,199.4620145
57,E,635.426905,0.000635427,0.023527685,1,400,771.7215576,771.7215576,771.7215576,0
58,E,2509.013272,0.002509013,0.092900155,6,2400,551.6852417,893.7976074,719.0394287,115.4040333
59,C,274968.4879,0.274968488,10.18114098,688,275200,-95.12505341,1198.615601,219.2345364,246.4127608
60,B,139468.7421,0.139468742,5.16404965,354,141600,-204.3801422,1184.267334,300.7104273,245.655485
61,E,3311.77238,0.003311772,0.12262357,9,3600,413.0426025,1088.892334,770.5594211,248.4076485
62,E,2316.220058,0.00231622,0.08576169,6,2400,548.008606,881.039856,740.0849101,114.6387113
63,E,7892.793469,0.007892793,0.292243081,22,8800,345.5636292,1122.27771,751.6138472,182.3369648
64,E,2275.494713,0.002275495,0.084253783,7,2800,710.6849365,966.4952393,857.9498901,86.37330335
65,B,308.792652,0.000308793,0.011433547,1,400,913.5405884,913.5405884,913.5405884,0
66,E,4389.094588,0.004389095,0.162513149,11,4400,700.9420166,1042.152466,883.3383734,92.57384171
67,E,1696.116779,0.001696117,0.062801401,4,1600,926.7554321,1339.738525,1118.841965,150.0466381
68,E,13842.54292,0.013842543,0.512541938,34,13600,552.0256958,974.154541,719.1076319,100.5430629
69,B,7979.626083,0.007979626,0.29545821,18,7200,47.35872269,502.9945374,225.4702057,149.1145764
70,C,51322.70601,0.051322706,1.900303955,129,51600,-120.5203247,990.0441895,191.4196871,193.114743
71,E,357.8477205,0.000357848,0.013249885,1,400,1193.442627,1193.442627,1193.442627,0
73,E,170.1762934,0.000170176,0.006301034,1,400,704.2409058,704.2409058,704.2409058,0
74,E,2233.611581,0.002233612,0.082702999,6,2400,1016.657349,1177.337524,1067.415161,52.83468149
75,E,543.2704685,0.00054327,0.020115427,1,400,556.7952271,556.7952271,556.7952271,0
76,A,338.0740892,0.000338074,0.012517722,1,400,272.8289185,272.8289185,272.8289185,0
77,B,55098.65474,0.055098655,2.040114408,140,56000,-346.1506348,748.9869385,176.2396336,169.6921472
78,E,16721.22406,0.016721224,0.619129632,41,16400,168.1078186,1123.092773,815.1593211,217.6511387
79,E,1720.165925,0.001720166,0.063691853,5,2000,1187.994507,1347.132446,1264.655103,58.14531416
80,E,15942.31581,0.015942316,0.590289338,40,16000,378.8292847,1322.054932,918.1609146,228.1006588
