State,Area_km,RdNBR_mean,RdNBR_SD,Beaver_Dam,Mean_NDWI_Pre,SD_NDWI_Pre,Mean_NDWI_Post,SD_NDWI_Post,Water_Proportion,dNDVI_mean,dNVDI_SD,NDWI_veg_pre_mean,NDWI_veg_pre_SD
C,0.088616191,479.5190125,200.9759979,Y,-0.723138,0.084734,-0.572636,0.077323,10.09043182,-0.090130985,0.086983591,0.208355772,0.060548729
C,0.043175454,537.3590088,207.9299927,Y,-0.636445,0.100786,-0.472332,0.0837623,34.49360059,-0.179147525,0.134102208,0.096541187,0.062456563
E,0.190213502,457.6069946,402.3770142,Y,-0.765293,0.0472058,-0.641051,0.0901386,6.657550941,-0.133924129,0.164111374,0.180737013,0.054232067
D,0.083087211,283.0650024,342.4289856,Y,-0.672755,0.0733432,-0.54543,0.0850448,0,-0.058996882,0.180497264,0.055301826,0.073244045
D,0.048266859,587.2459717,273.6870117,N,-0.707119,0.0447035,-0.536105,0.0686156,4.95777176,-0.207159942,0.152285188,0.220383151,0.065896388
E,0.079870992,397.1149902,121.1529999,N,-0.70589,0.0445533,-0.619315,0.05147,1.683877377,-0.093914662,0.072984018,0.212734972,0.057462358
E,0.002241087,597.7670288,30.1497993,N,-0.740016,0.0194641,-0.635944,0.0236541,0,-0.240822554,0.02378438,0.275260724,0.019247612
E,0.000719188,617.276001,0,N,-0.758216,0.0248476,-0.623089,0.0167886,0,-0.268231332,0,0.273349643,0
E,0.025705359,696.9290161,418.428009,N,-0.79814,0.0448573,-0.575561,0.110968,0,-0.269312808,0.186259518,0.2698802,0.053649009
D,0.104457513,609.9520264,209.5829926,N,-0.723861,0.0502997,-0.548129,0.0681708,0,-0.199953861,0.122593858,0.226971648,0.053093905
D,0.007453158,526.9099731,214.7259979,N,-0.767754,0.0479052,-0.59991,0.0546838,16.3212349,-0.194441053,0.119516682,0.184335521,0.025862499
D,0.004946366,547.1480103,160.5420074,N,-0.736737,0.0399579,-0.603228,0.0673109,7.233829183,-0.168805233,0.084389959,0.104172521,0.038131966
E,0.003511253,676.3120117,199.4620056,N,-0.678961,0.0580636,-0.47482,0.0663711,2.330782813,-0.230132068,0.112546322,0.108981819,0.04177733
E,0.001312257,771.7219849,0,N,-0.696206,0.0775933,-0.416918,0.0766701,0,-0.270827532,0,-0.017072616,0
C,0.567587764,219.2350006,246.4129944,N,-0.708917,0.0630071,-0.576895,0.0655777,0,-0.045520268,0.112135858,0.233866301,0.057100133
B,0.287984956,300.7099915,245.6549988,Y,-0.697747,0.066725,-0.596377,0.0569294,37.39412174,-0.085893148,0.103629299,0.236871565,0.052248989
E,0.006836535,770.559021,248.4080048,N,-0.787445,0.0243762,-0.490404,0.0828579,5.621984984,-0.331381334,0.119501821,0.284945207,0.040287042
E,0.00478138,740.085022,114.6389999,N,-0.774053,0.0285516,-0.498069,0.070595,0,-0.298811883,0.083218407,0.261433815,0.008266636
E,0.01629349,855.6220093,196.8600006,N,-0.767689,0.0502167,-0.436874,0.0986782,0,-0.360218941,0.106079491,0.257417091,0.067966935
E,0.004697592,857.9500122,86.3732986,N,-0.763831,0.0355007,-0.449931,0.0564704,0,-0.35723481,0.047108301,0.21023153,0.016031921
B,0.000637495,913.5410156,0,N,-0.650016,0.0313727,-0.449214,0.0261414,0,-0.40479213,0,0.169778302,0
E,0.009061353,883.3380127,92.5737991,N,-0.7672,0.0430976,-0.523565,0.0415504,5.082720756,-0.381873992,0.056045066,0.222568542,0.063397673
E,0.003501788,1118.839966,150.0469971,N,-0.760544,0.0494651,-0.466764,0.0363973,0,-0.493131325,0.046537301,0.279870559,0.0576174
E,0.028580552,719.1079712,100.5429993,N,-0.736912,0.0253984,-0.513541,0.031691,0,-0.272773301,0.062261118,0.341945291,0.048490735
B,0.01647371,225.4700012,149.1150055,Y,-0.687465,0.0603632,-0.595327,0.0662028,0,-0.062364054,0.071023333,0.146172958,0.064620761
C,0.105962183,191.4199982,193.1150055,Y,-0.731595,0.0436239,-0.642295,0.0526473,20.84621576,-0.01809039,0.094592007,0.285797101,0.070905617
E,0.000738597,1193.439941,0,N,-0.713454,0.0209057,-0.25661,0.0459147,9.100067159,-0.512314141,0,0.203774691,0
E,0.000351307,704.2410278,52.8347015,N,-0.684946,0.0177957,-0.457366,0.021161,0,-0.362285346,0,0.298284858,0
E,0.004611062,1067.420044,0,N,-0.749903,0.051707,-0.355645,0.0480701,0,-0.503568103,0.022755888,0.235872306,0.028074944
E,0.001121363,556.7949829,0,N,-0.730476,0.035196,-0.52312,0.050058,0,-0.250653088,0,0.369871229,0
A,0.000697799,272.82901,169.6920013,Y,-0.680622,0.0458347,-0.539129,0.0440118,0,-0.114334762,0,0.176239565,0
B,0.113718601,176.2400055,217.651001,Y,-0.668036,0.0451654,-0.541967,0.0696434,74.7195199,-0.059157277,0.069841706,0.237944974,0.070412192
E,0.034561209,815.1589966,58.1453018,N,-0.75245,0.0514326,-0.579974,0.0523025,9.260287746,-0.291438603,0.115178775,0.2250782,0.040568895
E,0.003555364,1264.660034,228.1009979,N,-0.714164,0.0525712,-0.499625,0.0403426,0,-0.525873983,0.030533399,0.16482255,0.05222467
E,0.032953608,918.1610107,291.3320007,N,-0.715076,0.0321632,-0.576999,0.0409055,0,-0.358793903,0.105626604,0.278904238,0.050792865
C,1.413007133,325.8299866,211.3339996,Y,-0.66767,0.0846936,-0.624662,0.0554568,0,-0.09509136,0.132364545,0.224981788,0.137655263
E,0.023452851,872.4429932,187.371994,N,-0.717446,0.0432012,-0.559959,0.0454749,9.62946238,-0.336814334,0.111102336,0.215493714,0.065391173
E,0.013116219,849.9349976,35.2182999,N,-0.688684,0.0349586,-0.551783,0.0352211,0,-0.329138519,0.11819888,0.206948051,0.074294066
E,0.001667001,1137.76001,42.2607002,N,-0.707834,0.0237119,-0.526154,0.0270365,0,-0.464102268,0.000813335,0.163454317,0.022053726
