OID,State,Area_m,Area_km,Area_Proportion,Pixel_count,Pixel_area,RdNBR_min,RdNBR_max,RdNBR_mean,RdNBR_SD,NDWI_min,NDWI_max,NDWI_mean,NDWI_SD
76,A,338.0740892,0.000338074,0.012517722,1,400,272.8289185,272.8289185,272.8289185,0,-0.758305252,-0.591645658,-0.682141987,0.046668668
77,B,55098.65474,0.055098655,2.040114408,140,56000,-346.1506348,748.9869385,176.2396336,169.6921472,-0.819529653,-0.447973698,-0.668078655,0.045205522
78,E,16721.22406,0.016721224,0.619129632,41,16400,168.1078186,1123.092773,815.1593211,217.6511387,-0.844939411,-0.532325804,-0.7426471,0.052012949
79,E,1720.165925,0.001720166,0.063691853,5,2000,1187.994507,1347.132446,1264.655103,58.14531416,-0.798344612,-0.568735659,-0.716118986,0.049424993
80,E,15942.31581,0.015942316,0.590289338,40,16000,378.8292847,1322.054932,918.1609146,228.1006588,-0.797810197,-0.557514668,-0.715030421,0.03641439
81,C,683551.4035,0.683551404,25.30956642,1654,661600,-325.1299438,1244.771851,325.830089,291.3320913,-0.860869586,-0.345733047,-0.667382887,0.085299308
82,E,11346.79151,0.011346792,0.42013283,28,11200,502.4012756,1166.465576,872.4426978,211.334058,-0.818778753,-0.517789543,-0.718230371,0.044583667
83,E,6345.525634,0.006345526,0.234953086,16,6400,425.2109985,1133.951172,849.9352455,187.3719963,-0.77556622,-0.536178112,-0.689230919,0.037488874
84,E,806.4560923,0.000806456,0.029860302,2,800,1102.546387,1172.98291,1137.764648,35.21826172,-0.759103656,-0.654462218,-0.707470524,0.028445282
85,E,2115.192567,0.002115193,0.078318349,3,1200,1158.495483,1261.579224,1207.30603,42.26065747,-0.80334729,-0.514307797,-0.717067955,0.050564627
86,E,3836.88029,0.00383688,0.14206652,9,3600,1093.140625,1192.131592,1146.285672,36.67612238,-0.777469695,-0.56193471,-0.701887444,0.04416025
87,E,1621.410241,0.00162141,0.060035257,4,1600,1090.835815,1224.855591,1177.637115,53.68307862,-0.754048169,-0.579324067,-0.712721155,0.034787083
